gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
RNF212B,ENSG00000215277.9,False,None,None,-0.1563270499145816,0.1897420799443478,0.4430458283249711,3.20582952635909,4.17700759202657e-05,0.19548872180451127,0.3042168674698795,0.10872814566536826,PT_Altered_Hyper,0.2126461671719359,0.48153214774281805
HOMEZ,ENSG00000290292.10,False,None,None,-0.152528294343493,0.2008641401415021,0.4557059153135599,0.269060616736739,0.25821211817876,0.06073667711598746,0.14358001265022138,0.08284333553423393,PT_Altered_Hyper,0.32710280373831774,0.5413669064748201
PPP1R3E,ENSG00000235194.9,False,None,None,-0.2137195735609488,0.0714475949101394,0.2741384873199428,0.807971009762709,0.0027363901248789,0.17354542848953855,0.2106879606879607,0.037142532198422146,PT_Altered_Hyper,0.32710280373831774,0.5413669064748201
BCL2L2,ENSG00000129473.11,False,None,None,-0.1177604760038303,0.3245376398895636,0.5818563666637276,0.0512817149656513,0.852218617760391,0.7392431311560393,0.8001464128843339,0.06090328172829451,PT_Altered_Hyper,0.32710280373831774,0.5413669064748201
BCL2L2-PABPN1,ENSG00000258643.6,False,None,None,0.0579222986459233,0.6288888820096386,0.8084986181252074,0.0862683559196972,0.78629022743744,0.042228212039532795,0.046926910299003324,0.0046986982594705295,None,,
PABPN1,ENSG00000100836.11,False,None,None,-0.1711903693940675,0.1504868936375836,0.3942048630887507,0.272088504806354,0.249777428885619,0.09457426536957175,0.1096847810583369,0.015110515688765147,None,,
SLC22A17,ENSG00000092096.19,False,None,None,0.0707718989728489,0.5546872664025551,0.760263925848755,0.0412974737452031,0.91828777553628,0.1862538118695754,0.17730020147750167,-0.008953610392073735,None,,
EFS,ENSG00000100842.13,False,None,None,-0.11792383973184,0.3238621725429214,0.5811921152221626,-0.180911799326758,0.53250800871025,0.12069491008838769,0.12217681221768122,0.0014819021292935275,None,,
IL25,ENSG00000166090.8,True,None,None,,,,0.0056060974073846,,0.8903365906623235,0.8707964601769912,-0.01954013048533232,None,,
CMTM5,ENSG00000166091.21,False,None,None,,,,0.0157921152340437,,0.8918685121107266,0.9076227390180879,0.01575422690736128,None,,
MYH6,ENSG00000197616.13,False,None,None,0.0229161938684172,0.8484689920047186,0.9288813006124974,0.0150226683153091,,0.8298727394507702,0.8029411764705883,-0.026931562980181956,None,,
MYH7,ENSG00000092054.13,False,None,None,0.139062686932445,0.2440168052517677,0.5029505821629614,-0.0201946368542685,,0.782608695652174,0.8004246284501062,0.017815932797932255,None,,
NGDN,ENSG00000129460.17,False,None,None,-0.2226052868975632,0.060180712150095,0.2523336359464175,0.0210156105132053,0.949501017442314,0.1859375,0.175,-0.010937500000000017,None,,
ZFHX2,ENSG00000136367.15,False,None,None,-0.1689606829620175,0.1559541803275272,0.4015084767058601,-0.163449494748177,0.605361963786821,0.05932579285872699,0.07289628180039139,0.013570488941664398,None,,
THTPA,ENSG00000259431.6,False,None,None,0.0180055447228366,0.8806696747975571,0.9450542303144008,0.0868848294609125,,0.2249075215782984,0.22863953061972864,0.0037320090414302287,None,,
AP1G2,ENSG00000213983.12,False,None,None,0.2237944529946565,0.0587887948078527,0.2495022059926018,-0.222191658572192,0.478522084061109,0.17438464747601168,0.20388349514563106,0.029498847669619382,None,,
JPH4,ENSG00000092051.18,False,None,None,0.1062815955203069,0.374236250723958,0.6254387007636648,0.0372691560475381,,0.2590529247910863,0.257459505541347,-0.0015934192497393251,None,,
DHRS2,ENSG00000100867.15,False,None,None,0.1987132403199703,0.0942563076489988,0.3133572148565382,-0.0956102737489738,,0.5321375186846039,0.5118577075098815,-0.02027981117472244,None,,
DHRS4,ENSG00000157326.19,False,None,None,-0.0185726114769093,0.8769403349086757,0.9431486375645052,0.871465650542863,0.0091071200368973,0.008780123295348403,0.02035203520352035,0.011571911908171948,None,,
DHRS4L2,ENSG00000187630.18,True,None,None,-0.2015801696531205,0.0895063196377241,0.3055754204689019,0.513579576427086,0.104651088985984,0.07242668765990946,0.10150722854506306,0.02908054088515359,None,,
CARMIL3,ENSG00000186648.15,False,None,None,-0.1710640618389145,0.1507927333343854,0.3946535011341423,0.216099892215498,0.501567305239325,0.05102403220078134,0.051126206649982124,0.00010217444920078422,None,,
